area,width,contours,radius,centroid_x,centroid_y,corners,circles,angle,weight_0_2,weight_0_3,weight_0_4,weight_0_5,weight_0_6,weight_1_1,weight_1_2,weight_1_3,weight_1_4,weight_1_5,weight_1_6,weight_2_1,weight_2_2,weight_2_3,weight_2_4,weight_2_5,weight_2_6,weight_3_1,weight_3_2,weight_3_3,weight_3_4,weight_3_5,weight_3_6,weight_4_1,weight_4_2,weight_4_3,weight_4_4,weight_4_5,weight_4_6,weight_5_1,weight_5_2,weight_5_3,weight_5_4,weight_5_5,weight_5_6,weight_6_1,weight_6_2,weight_6_3,weight_6_4,weight_6_5,weight_6_6,weight_7_2,weight_7_3,weight_7_4,weight_7_5,weight_7_6,weight_7_7,num_holes,label
382.0,23.0,48.0,10.8977794555,16.4096858639,16.109947644,30.0,1.0,78.6900672913,0.0,12.0,7.0,0.0,0.0,0.0,14.0,16.0,16.0,8.0,0.0,12.0,10.0,0.0,6.0,16.0,0.0,0.0,14.0,12.0,0.0,16.0,0.0,0.0,0.0,11.0,16.0,11.0,0.0,0.0,0.0,15.0,9.0,16.0,0.0,0.0,8.0,14.0,0.0,13.0,12.0,0.0,9.0,14.0,16.0,11.0,0.0,2.0,8
212.0,15.0,36.0,9.70843677368,15.8907232704,15.2830188679,18.0,2.0,84.2894077301,7.0,11.0,15.0,0.0,0.0,0.0,12.0,14.0,12.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,8.0,16.0,14.0,0.0,0.0,0.0,0.0,8.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,13.0,16.0,0.0,0.0,15.0,12.0,9.0,0.0,0.0,0.0,5
263.0,17.0,47.0,8.89777928846,17.0754119138,13.5297845374,23.0,1.0,90.0,0.0,15.0,16.0,7.0,0.0,0.0,6.0,12.0,16.0,16.0,0.0,0.0,0.0,7.0,13.0,15.0,0.0,0.0,8.0,16.0,16.0,15.0,8.0,0.0,0.0,15.0,16.0,16.0,9.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7
248.0,19.0,59.0,9.54014056281,15.0443548387,13.8783602151,26.0,2.0,90.0,13.0,10.0,8.0,8.0,0.0,0.0,16.0,16.0,13.0,11.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,6.0,16.0,16.0,15.0,6.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,16.0,8.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5
418.0,18.0,28.0,12.4149290042,16.1419457735,15.8504784689,30.0,2.0,90.0,0.0,15.0,11.0,0.0,0.0,0.0,15.0,15.0,14.0,11.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,7.0,8.0,0.0,14.0,0.0,0.0,9.0,8.0,0.0,10.0,13.0,9.0,16.0,0.0,0.0,10.0,16.0,10.0,0.0,0.0,1.0,0
340.0,22.0,45.0,10.4511624439,15.8058823529,18.3274509804,25.0,2.0,86.1859250069,12.0,16.0,12.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,10.0,6.0,0.0,0.0,16.0,8.0,16.0,6.0,0.0,0.0,0.0,16.0,16.0,7.0,0.0,0.0,11.0,16.0,15.0,16.0,8.0,0.0,16.0,10.0,0.0,11.0,16.0,8.0,16.0,16.0,16.0,10.0,0.0,2.0,8
232.5,20.0,53.0,9.39787276164,16.3612903226,14.8659498208,27.0,3.0,90.0,6.0,14.0,13.0,12.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,12.0,7.0,0.0,0.0,11.0,6.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,12.0,15.0,0.0,9.0,15.0,11.0,0.0,0.0,0.0,0.0,5
226.0,20.0,57.0,9.44012724126,15.5744837758,16.941740413,23.0,0.0,-59.036239624,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,11.0,10.0,0.0,12.0,7.0,6.0,16.0,7.0,7.0,16.0,0.0,8.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4
238.5,18.0,39.0,9.07209844312,15.6512928022,13.7980433263,25.0,0.0,87.614055872,14.0,16.0,11.0,0.0,0.0,0.0,12.0,16.0,16.0,6.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,10.0,16.0,13.0,0.0,0.0,0.0,16.0,16.0,16.0,6.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,7
351.5,19.0,38.0,11.1265969992,16.1119013751,14.0066382172,24.0,2.0,90.0,6.0,13.0,15.0,8.0,0.0,0.0,16.0,12.0,12.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,15.0,13.0,13.0,16.0,0.0,0.0,0.0,7.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,11.0,7.0,16.0,0.0,10.0,13.0,16.0,13.0,0.0,0.0,1.0,9
195.0,18.0,56.0,9.00067303633,14.8247863248,16.3051282051,23.0,0.0,90.0,0.0,7.0,15.0,6.0,0.0,0.0,10.0,13.0,14.0,12.0,0.0,0.0,11.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,8.0,16.0,14.0,12.0,8.0,0.0,0.0,7.0,9.0,12.0,0.0,0.0,0.0,2
241.0,20.0,44.0,9.86922786554,18.9633471646,16.0470262794,26.0,3.0,87.7974019051,14.0,16.0,16.0,8.0,0.0,0.0,6.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,7.0,16.0,13.0,0.0,0.0,0.0,8.0,12.0,16.0,7.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,6.0,0.0,0.0,10.0,16.0,11.0,16.0,16.0,16.0,9.0,0.0,0.0,3
449.0,20.0,34.0,12.8037501973,15.6971046771,16.141796585,26.0,4.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,16.0,16.0,12.0,0.0,0.0,16.0,16.0,14.0,16.0,7.0,7.0,12.0,0.0,0.0,8.0,8.0,0.0,12.0,0.0,0.0,8.0,8.0,0.0,15.0,0.0,0.0,9.0,7.0,0.0,15.0,0.0,7.0,15.0,0.0,0.0,12.0,12.0,7.0,0.0,0.0,1.0,0
220.5,21.0,46.0,10.8462236519,16.6152683296,15.6742252457,24.0,2.0,83.6598081589,9.0,16.0,13.0,0.0,0.0,0.0,16.0,9.0,12.0,12.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,10.0,16.0,10.0,7.0,9.0,12.0,8.0,9.0,12.0,0.0,0.0,2
254.0,19.0,43.0,9.72172443013,14.0111548556,16.5682414698,25.0,1.0,90.0,15.0,16.0,11.0,0.0,0.0,0.0,15.0,14.0,16.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,8.0,16.0,14.0,13.0,16.0,0.0,16.0,16.0,11.0,6.0,0.0,0.0,0.0,2
222.0,21.0,54.0,9.04877153672,14.7672672673,17.3040540541,21.0,1.0,-61.3895378113,0.0,6.0,15.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,8.0,8.0,16.0,0.0,6.0,15.0,10.0,8.0,16.0,16.0,16.0,14.0,0.0,0.0,0.0,6.0,16.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4
266.5,20.0,44.0,10.6694715858,16.3452157598,19.5115697311,27.0,4.0,70.8209915161,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,16.0,11.0,8.0,0.0,0.0,0.0,15.0,16.0,16.0,16.0,8.0,0.0,8.0,13.0,0.0,0.0,15.0,0.0,7.0,14.0,16.0,14.0,0.0,1.0,6
225.0,22.0,54.0,9.62437237807,14.6740740741,16.7925925926,33.0,1.0,-61.6992454529,0.0,8.0,12.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,11.0,12.0,10.0,13.0,0.0,7.0,16.0,0.0,8.0,16.0,16.0,16.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,4
200.0,15.0,35.0,8.12639776408,14.2283333333,14.4483333333,18.0,0.0,-87.27368927,6.0,16.0,16.0,11.0,0.0,0.0,12.0,16.0,14.0,8.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,0.0,7.0,16.0,6.0,0.0,0.0,0.0,0.0,5
319.5,23.0,47.0,10.2004795261,18.6489306208,12.1424100156,32.0,3.0,-77.4711914062,0.0,0.0,10.0,16.0,11.0,0.0,0.0,14.0,12.0,7.0,16.0,0.0,15.0,15.0,0.0,10.0,15.0,6.0,16.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,4
193.5,20.0,64.0,9.51449153847,15.857881137,18.2153316107,27.0,2.0,-82.8749847412,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,6.0,11.0,0.0,6.0,6.0,0.0,13.0,0.0,0.0,9.0,7.0,8.0,7.0,0.0,0.0,16.0,0.0,7.0,16.0,16.0,16.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4
217.5,16.0,33.0,9.29677490429,13.9356321839,13.6482758621,20.0,0.0,90.0,6.0,16.0,16.0,10.0,0.0,0.0,16.0,16.0,13.0,6.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,8.0,16.0,11.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,5
295.0,19.0,48.0,10.1201766439,16.7740112994,15.4367231638,27.0,2.0,87.3974378109,10.0,16.0,14.0,0.0,0.0,0.0,16.0,13.0,15.0,14.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,14.0,16.0,13.0,0.0,0.0,7.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,11.0,8.0,13.0,16.0,0.0,14.0,16.0,14.0,7.0,0.0,0.0,0.0,3
263.0,24.0,43.0,9.60411734494,16.6996197719,13.1958174905,22.0,1.0,-78.1113433838,11.0,15.0,16.0,16.0,15.0,0.0,9.0,12.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,12.0,13.0,16.0,13.0,0.0,9.0,12.0,16.0,11.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,7
276.0,20.0,46.0,8.18076055134,15.6497584541,17.0555555556,21.0,0.0,-61.9275131226,0.0,6.0,16.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,15.0,8.0,12.0,0.0,0.0,12.0,14.0,8.0,16.0,0.0,7.0,16.0,12.0,14.0,14.0,0.0,8.0,16.0,16.0,16.0,15.0,6.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4
402.5,22.0,38.0,11.8196094656,15.7842650104,18.1076604555,23.0,2.0,90.0,0.0,15.0,16.0,8.0,0.0,0.0,10.0,13.0,10.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,16.0,14.0,12.0,11.0,0.0,8.0,16.0,16.0,15.0,15.0,11.0,7.0,16.0,12.0,0.0,12.0,16.0,0.0,15.0,15.0,11.0,15.0,15.0,0.0,15.0,16.0,15.0,6.0,0.0,1.0,6
261.5,20.0,40.0,9.75863775595,16.7316762269,11.6762268961,22.0,1.0,79.6951532364,0.0,14.0,16.0,8.0,0.0,0.0,15.0,15.0,16.0,14.0,0.0,0.0,16.0,16.0,16.0,16.0,12.0,0.0,6.0,0.0,8.0,16.0,6.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9
198.5,17.0,58.0,10.2795598491,15.7195633921,16.9815281276,33.0,2.0,90.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,10.0,7.0,7.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,11.0,10.0,15.0,11.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,1.0,0
241.5,17.0,55.0,9.59350086691,15.5155279503,17.8102139406,28.0,2.0,-84.2894058228,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,7.0,0.0,12.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,7.0,16.0,10.0,0.0,0.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,10.0,16.0,11.0,0.0,0.0,2.0,8
210.0,14.0,31.0,8.51089769997,14.9119047619,16.073015873,20.0,1.0,87.5104470253,7.0,16.0,14.0,0.0,0.0,0.0,11.0,16.0,16.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,12.0,0.0,0.0,16.0,16.0,9.0,0.0,0.0,0.0,2
257.5,21.0,34.0,10.3137110003,16.2919093851,19.2012944984,27.0,1.0,67.3801345825,0.0,9.0,10.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,16.0,16.0,6.0,0.0,8.0,16.0,8.0,12.0,16.0,0.0,0.0,12.0,16.0,15.0,0.0,1.0,6
230.0,20.0,41.0,10.8531409772,17.1355072464,14.9760869565,19.0,1.0,79.6951541901,7.0,12.0,11.0,0.0,0.0,8.0,16.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,7.0,7.0,16.0,8.0,0.0,16.0,16.0,12.0,0.0,0.0,0.0,3
222.0,18.0,32.0,9.84049913058,16.3033033033,13.0585585586,19.0,2.0,90.0,16.0,15.0,7.0,0.0,0.0,0.0,16.0,16.0,16.0,13.0,0.0,0.0,7.0,8.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,9
272.5,16.0,42.0,9.71160770295,18.6844036697,14.6672782875,21.0,1.0,86.8201699257,0.0,15.0,12.0,0.0,0.0,0.0,0.0,15.0,15.0,9.0,0.0,0.0,0.0,12.0,7.0,16.0,0.0,0.0,0.0,13.0,14.0,16.0,7.0,0.0,0.0,0.0,12.0,15.0,10.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,8.0,16.0,10.0,0.0,13.0,16.0,15.0,0.0,0.0,1.0,9
257.5,20.0,41.0,10.7992988808,14.6245954693,20.1579288026,22.0,2.0,63.4349498749,6.0,16.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,0.0,0.0,16.0,14.0,8.0,13.0,8.0,0.0,16.0,13.0,11.0,15.0,11.0,0.0,12.0,12.0,7.0,0.0,0.0,1.0,6
273.5,25.0,55.0,9.02627444242,15.9219987812,17.6185252895,28.0,1.0,-60.255115509,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,7.0,0.0,0.0,15.0,0.0,9.0,15.0,0.0,15.0,9.0,0.0,14.0,10.0,15.0,16.0,15.0,16.0,16.0,0.0,10.0,9.0,9.0,16.0,10.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4
220.5,18.0,50.0,8.53088721079,14.1005291005,15.1723356009,22.0,1.0,82.8749833107,10.0,16.0,15.0,0.0,0.0,0.0,16.0,13.0,16.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,12.0,14.0,10.0,0.0,0.0,11.0,16.0,16.0,16.0,0.0,0.0,0.0,2
309.5,18.0,34.0,10.0965164141,14.4604200323,14.0080775444,17.0,1.0,-87.27368927,14.0,16.0,9.0,11.0,0.0,0.0,16.0,10.0,10.0,16.0,0.0,0.0,12.0,12.0,13.0,13.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,6.0,16.0,7.0,0.0,0.0,0.0,15.0,15.0,12.0,0.0,0.0,0.0,16.0,12.0,12.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,1.0,8
252.5,20.0,28.0,10.5158405965,17.5366336634,14.9419141914,18.0,0.0,87.9545917511,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,13.0,16.0,13.0,0.0,8.0,16.0,15.0,16.0,12.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,11.0,16.0,7.0,0.0,0.0,1
244.5,22.0,49.0,9.27498413822,18.0688479891,13.9011588275,27.0,1.0,-63.4349517822,0.0,7.0,16.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,13.0,0.0,6.0,16.0,0.0,8.0,15.0,0.0,14.0,16.0,16.0,16.0,11.0,0.0,8.0,8.0,12.0,16.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,4
242.5,20.0,50.0,9.43941061543,15.4453608247,14.7326460481,21.0,3.0,87.5104472637,12.0,16.0,16.0,7.0,0.0,8.0,14.0,8.0,16.0,8.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,10.0,15.0,9.0,0.0,0.0,0.0,0.0,9.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,16.0,16.0,15.0,0.0,0.0,0.0,3
272.5,23.0,56.0,10.2481488675,15.8966360856,14.603058104,30.0,3.0,-85.6012878418,10.0,16.0,16.0,16.0,16.0,0.0,16.0,13.0,6.0,0.0,0.0,0.0,16.0,15.0,10.0,0.0,0.0,0.0,8.0,11.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,7.0,9.0,0.0,0.0,12.0,8.0,0.0,16.0,0.0,0.0,15.0,0.0,9.0,16.0,16.0,13.0,0.0,0.0,0.0,5
195.5,19.0,56.0,9.26683817013,15.6052855925,12.2489343564,21.0,1.0,90.0,0.0,10.0,13.0,16.0,8.0,0.0,16.0,16.0,11.0,8.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,9.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,5
273.0,19.0,44.0,10.1679838943,15.7124542125,19.4743589744,25.0,1.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,16.0,15.0,0.0,0.0,16.0,16.0,10.0,0.0,12.0,0.0,13.0,15.0,8.0,12.0,9.0,0.0,13.0,15.0,10.0,0.0,0.0,1.0,6
258.5,22.0,43.0,9.17086239335,14.3720180529,12.972275951,23.0,0.0,-73.3007583618,7.0,8.0,12.0,16.0,11.0,0.0,16.0,16.0,16.0,15.0,6.0,10.0,16.0,7.0,0.0,0.0,0.0,8.0,16.0,9.0,0.0,0.0,0.0,0.0,9.0,16.0,12.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,5
