,area,contours,radius,hull_radius,centroid_x,centroid_y,weight_0_0,weight_0_1,weight_0_2,weight_0_3,weight_1_0,weight_1_1,weight_1_2,weight_1_3,weight_2_0,weight_2_1,weight_2_2,weight_2_3,weight_3_0,weight_3_1,weight_3_2,weight_3_3,num_holes,label
11,234.5,43,9.97004706354,13.7513076075,15.8351101635,15.4818763326,0.0,55.0,38.0,0.0,0.0,48.0,16.0,0.0,0.0,12.0,39.0,6.0,0.0,38.0,56.0,2.0,0,5
12,279.5,48,9.67667106674,12.6089705983,16.9582587955,13.4496124031,0.0,42.0,55.0,1.0,0.0,37.0,64.0,8.0,0.0,26.0,50.0,9.0,0.0,36.0,10.0,0.0,0,7
13,257.0,58,9.65232421216,13.3429193771,15.0207522698,13.6180285344,3.0,58.0,40.0,6.0,12.0,58.0,21.0,0.0,0.0,5.0,46.0,5.0,0.0,44.0,28.0,0.0,0,5
14,432.0,34,12.0107913829,12.9597748816,15.9517746914,15.8599537037,0.0,50.0,40.0,0.0,7.0,46.0,26.0,6.0,2.0,38.0,19.0,18.0,0.0,38.0,52.0,4.0,1,0
15,335.5,35,10.9554927175,14.2807434986,15.7054148038,16.8569299553,1.0,40.0,20.0,0.0,0.0,34.0,28.0,0.0,0.0,33.0,38.0,3.0,0.0,36.0,33.0,19.0,2,8
16,242.5,54,9.78703829651,13.9295321498,16.1725085911,14.5766323024,2.0,42.0,40.0,17.0,9.0,45.0,41.0,3.0,0.0,0.0,31.0,10.0,4.0,47.0,42.0,0.0,0,5
17,232.0,61,9.59512499125,12.6596505221,15.6264367816,16.9820402299,0.0,13.0,26.0,0.0,0.0,40.0,19.0,12.0,15.0,55.0,55.0,4.0,0.0,12.0,35.0,1.0,0,4
18,247.5,46,9.54749727319,13.797069994,15.6397306397,13.9831649832,1.0,60.0,37.0,0.0,0.0,15.0,53.0,2.0,0.0,38.0,42.0,8.0,0.0,51.0,2.0,0.0,0,7
19,354.5,45,10.8654793331,13.6268842185,16.0785143394,13.9896567936,4.0,48.0,54.0,5.0,7.0,48.0,50.0,6.0,0.0,7.0,49.0,1.0,5.0,56.0,55.0,0.0,1,9
20,209.0,60,9.49892465076,14.1232372505,14.6578947368,16.1188197767,0.0,32.0,52.0,0.0,2.0,18.0,31.0,0.0,2.0,38.0,3.0,0.0,12.0,41.0,46.0,0.0,0,2
21,255.0,44,10.5889326973,14.9812312475,18.868627451,16.2862745098,0.0,41.0,50.0,3.0,0.0,7.0,53.0,3.0,0.0,8.0,37.0,22.0,0.0,44.0,47.0,28.0,0,3
22,451.5,36,12.7872871999,13.3305993925,15.7290513104,16.0826873385,0.0,53.0,32.0,2.0,11.0,44.0,40.0,16.0,8.0,28.0,17.0,15.0,1.0,43.0,46.0,4.0,1,0
23,234.5,48,10.6659493884,14.6039578241,16.6766169154,15.8606965174,3.0,52.0,40.0,0.0,5.0,24.0,36.0,0.0,0.0,1.0,41.0,0.0,0.0,44.0,46.0,23.0,0,2
24,262.5,43,9.84265593647,14.7030344197,14.1225396825,16.5282539683,6.0,61.0,31.0,0.0,0.0,23.0,31.0,0.0,1.0,47.0,4.0,0.0,11.0,63.0,49.0,6.0,0,2
25,237.0,58,9.26633415452,12.2177834657,14.55907173,17.6195499297,0.0,27.0,20.0,0.0,7.0,37.0,5.0,9.0,21.0,48.0,51.0,10.0,2.0,23.0,40.0,0.0,0,4
26,285.5,47,10.6386456834,13.2121184767,16.2965557501,19.1488616462,0.0,24.0,28.0,0.0,0.0,47.0,3.0,0.0,2.0,59.0,44.0,8.0,0.0,32.0,40.0,35.0,1,6
27,232.5,59,9.78187449375,12.6291152209,14.8050179211,16.6200716846,0.0,29.0,18.0,0.0,8.0,40.0,11.0,16.0,20.0,49.0,52.0,5.0,0.0,15.0,33.0,0.0,0,4
28,212.0,38,8.45371701782,13.8967578537,14.1485849057,14.5738993711,0.0,55.0,50.0,0.0,0.0,40.0,1.0,0.0,0.0,29.0,22.0,0.0,0.0,56.0,21.0,0.0,0,5
29,329.5,35,11.2541345238,13.295577386,18.7491148204,12.1729893778,0.0,18.0,51.0,37.0,9.0,63.0,46.0,31.0,0.0,7.0,45.0,8.0,0.0,0.0,48.0,0.0,1,4
30,200.0,62,9.73384187462,12.9425022723,15.8183333333,18.2,0.0,4.0,37.0,0.0,0.0,32.0,17.0,6.0,10.0,24.0,28.0,11.0,8.0,38.0,47.0,3.0,0,4
31,225.5,40,9.08143908437,13.6097888335,13.903917221,13.8470066519,5.0,55.0,47.0,0.0,1.0,51.0,6.0,0.0,0.0,29.0,25.0,0.0,0.0,50.0,17.0,0.0,0,5
32,306.5,55,10.2147011798,13.9755241445,16.7406199021,15.5976073953,5.0,57.0,48.0,0.0,1.0,20.0,54.0,2.0,0.0,23.0,53.0,11.0,2.0,51.0,52.0,5.0,0,3
33,280.0,49,10.3337536054,14.8595246694,16.6285714286,13.2154761905,0.0,51.0,60.0,34.0,0.0,0.0,41.0,7.0,15.0,56.0,48.0,3.0,0.0,44.0,2.0,0.0,0,7
34,321.5,30,10.5805083766,12.6056177324,15.8356661483,16.5375842405,0.0,15.0,32.0,0.0,0.0,45.0,63.0,0.0,17.0,64.0,63.0,11.0,1.0,20.0,41.0,0.0,0,4
35,317.5,42,11.64933864,12.8471857941,15.76167979,18.7443569554,0.0,32.0,24.0,0.0,3.0,43.0,14.0,1.0,6.0,55.0,32.0,17.0,0.0,34.0,47.0,13.0,1,6
36,272.5,40,10.1830727323,13.8376922092,16.7357798165,11.7681957187,2.0,50.0,54.0,5.0,4.0,43.0,58.0,21.0,0.0,5.0,44.0,0.0,0.0,34.0,10.0,0.0,0,9
37,388.5,36,11.6938343071,12.4386678254,15.7061347061,15.9326469326,0.0,42.0,22.0,0.0,0.0,37.0,28.0,5.0,1.0,32.0,33.0,13.0,0.0,41.0,43.0,0.0,1,0
38,326.0,43,10.1199301361,13.3176748713,15.5199386503,15.6646216769,0.0,36.0,38.0,0.0,0.0,34.0,38.0,3.0,1.0,43.0,27.0,0.0,1.0,33.0,44.0,0.0,2,8
39,224.0,38,9.32031741234,14.4122016977,14.8727678571,16.2745535714,0.0,52.0,30.0,0.0,0.0,28.0,26.0,0.0,0.0,40.0,5.0,0.0,0.0,50.0,56.0,0.0,0,2
40,270.0,48,10.389081362,13.3520211161,16.2234567901,19.0919753086,0.0,27.0,24.0,0.0,0.0,52.0,3.0,0.0,5.0,50.0,34.0,6.0,0.0,29.0,62.0,39.0,0,6
41,250.5,51,10.7251029615,14.5600859513,17.0465735196,15.0439121756,11.0,55.0,42.0,0.0,0.0,4.0,51.0,0.0,0.0,3.0,50.0,5.0,0.0,35.0,54.0,10.0,0,3
42,231.0,36,11.1437034499,12.6495187849,16.2546897547,13.0995670996,9.0,64.0,37.0,2.0,0.0,15.0,46.0,10.0,0.0,0.0,41.0,1.0,2.0,47.0,21.0,0.0,0,9
43,285.5,41,10.0234000218,12.2280731063,18.5353181553,14.6573263281,0.0,42.0,40.0,0.0,0.0,37.0,64.0,9.0,0.0,4.0,45.0,22.0,0.0,17.0,56.0,13.0,0,9
44,270.0,47,11.0108217806,12.9303561315,14.4382716049,19.9222222222,0.0,42.0,0.0,0.0,2.0,36.0,0.0,0.0,9.0,61.0,36.0,8.0,2.0,53.0,50.0,11.0,1,6
45,289.0,60,9.73141118411,13.6642323919,16.0657439446,17.3143021915,0.0,9.0,44.0,0.0,0.0,28.0,28.0,26.0,20.0,59.0,49.0,13.0,11.0,25.0,44.0,0.0,0,4
46,228.5,43,8.71480375744,14.511869963,14.1838074398,15.1991247265,6.0,56.0,38.0,0.0,5.0,23.0,28.0,0.0,0.0,39.0,7.0,0.0,0.0,55.0,46.0,3.0,0,2
47,317.5,37,10.8064062569,14.9094272912,14.5464566929,13.9081364829,0.0,58.0,54.0,7.0,0.0,44.0,41.0,1.0,1.0,53.0,21.0,0.0,6.0,60.0,15.0,0.0,1,8
48,268.0,27,10.4450831207,14.1503644646,17.5074626866,14.9042288557,0.0,1.0,62.0,4.0,12.0,50.0,59.0,0.0,1.0,12.0,59.0,0.0,0.0,0.0,60.0,9.0,0,1
49,263.0,47,9.58777884123,13.0110298344,18.1628643853,13.8960709759,0.0,19.0,34.0,22.0,0.0,54.0,45.0,30.0,0.0,16.0,55.0,3.0,0.0,14.0,34.0,0.0,0,4
50,253.0,54,9.53116833951,15.3381554304,15.4492753623,14.779314888,9.0,54.0,49.0,0.0,1.0,39.0,21.0,0.0,0.0,36.0,37.0,0.0,2.0,32.0,53.0,8.0,0,3
51,286.5,62,10.8151832066,15.5171078547,15.9662594532,14.5677719604,2.0,57.0,39.0,23.0,5.0,50.0,45.0,3.0,7.0,10.0,29.0,16.0,6.0,46.0,45.0,7.0,0,5
52,199.0,55,9.23979378396,13.4407842178,15.5829145729,12.1599664992,2.0,49.0,51.0,11.0,1.0,51.0,10.0,0.0,0.0,1.0,41.0,0.0,0.0,27.0,23.0,0.0,0,5
53,292.0,46,10.8249921457,13.0866602338,15.5359589041,19.4109589041,0.0,38.0,4.0,0.0,2.0,40.0,6.0,0.0,3.0,64.0,48.0,14.0,0.0,43.0,53.0,13.0,1,6
54,262.5,46,9.73843668817,13.8782960254,14.380952381,13.086984127,1.0,47.0,63.0,19.0,18.0,48.0,2.0,0.0,0.0,34.0,32.0,0.0,0.0,45.0,18.0,0.0,0,5
55,270.5,58,10.7492297483,14.5902730735,16.5317313617,14.4319162046,10.0,60.0,51.0,1.0,1.0,22.0,47.0,1.0,0.0,6.0,48.0,9.0,5.0,42.0,47.0,4.0,0,3
56,232.0,45,9.70690913219,14.3999882328,12.4813218391,13.3031609195,16.0,58.0,52.0,9.0,12.0,35.0,0.0,0.0,0.0,50.0,3.0,0.0,7.0,60.0,5.0,0.0,0,5
57,255.0,40,10.4168421975,12.9323788088,17.9934640523,11.3692810458,0.0,24.0,44.0,22.0,5.0,45.0,48.0,6.0,0.0,0.0,35.0,3.0,0.0,0.0,37.0,0.0,1,9
58,412.5,31,12.1558994413,12.7278518074,16.2113131313,14.9785858586,0.0,49.0,51.0,1.0,9.0,57.0,29.0,14.0,0.0,32.0,22.0,10.0,0.0,35.0,40.0,2.0,1,0
59,427.0,33,12.1165855062,12.6840521974,16.0753317721,15.4730679157,0.0,40.0,41.0,3.0,0.0,41.0,13.0,12.0,6.0,25.0,22.0,14.0,0.0,43.0,43.0,0.0,1,0
60,252.0,43,9.68455829216,12.7967766315,13.9431216931,17.1038359788,0.0,32.0,37.0,0.0,2.0,51.0,1.0,0.0,7.0,61.0,21.0,0.0,0.0,40.0,55.0,0.0,0,6
61,220.5,49,9.67786015525,13.1165417652,15.9886621315,12.8699924414,0.0,36.0,55.0,17.0,3.0,57.0,3.0,0.0,0.0,13.0,51.0,0.0,0.0,24.0,25.0,0.0,0,5
62,293.5,50,9.36790481952,14.1393188357,16.628052243,13.3441226576,0.0,54.0,62.0,16.0,0.0,15.0,56.0,7.0,0.0,50.0,44.0,7.0,0.0,48.0,7.0,0.0,0,7
63,282.0,49,10.1377240892,12.795539985,13.8043735225,17.9970449173,0.0,31.0,28.0,0.0,5.0,52.0,2.0,0.0,24.0,50.0,41.0,9.0,3.0,46.0,50.0,0.0,0,4
64,241.0,36,10.480085765,13.6530516816,17.1763485477,14.5082987552,0.0,7.0,54.0,0.0,3.0,48.0,56.0,0.0,4.0,16.0,49.0,0.0,0.0,3.0,49.0,3.0,0,1
65,260.5,45,9.28248448365,14.6998216042,15.040946897,17.7530390275,6.0,55.0,30.0,0.0,0.0,5.0,39.0,0.0,0.0,45.0,11.0,0.0,9.0,64.0,56.0,20.0,0,2
66,262.5,59,10.1627670405,14.1139210756,17.4977777778,16.4526984127,0.0,49.0,40.0,0.0,1.0,17.0,46.0,0.0,0.0,25.0,40.0,13.0,0.0,35.0,54.0,25.0,0,3
67,278.5,55,10.2235753923,14.1329357195,17.434470377,15.9353680431,1.0,46.0,44.0,0.0,2.0,23.0,49.0,0.0,0.0,12.0,49.0,14.0,0.0,44.0,55.0,15.0,0,3
68,430.5,31,12.3889687083,13.8474056455,16.0360046458,15.7142857143,0.0,46.0,42.0,2.0,5.0,51.0,51.0,2.0,0.0,48.0,41.0,10.0,0.0,51.0,50.0,6.0,2,8
69,243.5,46,9.28947977721,13.877416866,12.8583162218,13.0513347023,19.0,60.0,50.0,5.0,12.0,40.0,4.0,1.0,0.0,41.0,11.0,0.0,9.0,53.0,11.0,0.0,0,5
70,267.5,62,9.87849275668,12.9747966774,15.5246105919,13.4510903427,3.0,50.0,56.0,3.0,4.0,20.0,49.0,2.0,11.0,48.0,43.0,10.0,0.0,41.0,3.0,0.0,0,7
71,252.5,28,10.0298625526,13.2935490911,14.0943894389,14.6211221122,0.0,41.0,29.0,0.0,16.0,61.0,32.0,0.0,0.0,34.0,27.0,0.0,0.0,36.0,31.0,0.0,0,1
72,200.5,51,10.0324354898,15.1244875111,16.3167082294,12.927680798,3.0,52.0,49.0,10.0,0.0,38.0,14.0,0.0,0.0,0.0,36.0,3.0,0.0,30.0,38.0,3.0,0,5
73,432.0,37,12.0060386578,13.0970868393,15.1485339506,15.400462963,0.0,51.0,40.0,4.0,8.0,54.0,35.0,14.0,13.0,24.0,35.0,5.0,4.0,56.0,29.0,0.0,1,0
74,249.5,57,8.94764468022,13.3737655558,15.3026052104,17.2491649967,0.0,17.0,28.0,0.0,0.0,42.0,24.0,13.0,14.0,52.0,55.0,2.0,6.0,23.0,37.0,0.0,0,4
75,245.5,39,10.4467994755,13.2114165347,14.7338764426,14.9517990496,0.0,39.0,39.0,0.0,0.0,41.0,37.0,0.0,0.0,48.0,24.0,0.0,0.0,45.0,25.0,0.0,0,1
76,393.0,49,10.8475627916,13.8128224797,15.5958439355,14.8074639525,2.0,46.0,52.0,9.0,6.0,48.0,40.0,10.0,0.0,44.0,36.0,0.0,2.0,50.0,55.0,0.0,1,8
77,263.0,49,9.13667427371,14.46328276,14.9366286439,17.1527249683,3.0,62.0,24.0,0.0,8.0,16.0,34.0,0.0,0.0,33.0,18.0,1.0,0.0,62.0,64.0,16.0,0,2
78,459.0,29,12.5470113309,13.5268700877,15.7839506173,15.9742193174,1.0,49.0,40.0,0.0,9.0,51.0,15.0,13.0,10.0,19.0,14.0,16.0,0.0,47.0,53.0,5.0,1,0
79,211.0,53,9.64222874109,14.7724472088,18.0039494471,14.7440758294,2.0,40.0,55.0,4.0,0.0,11.0,45.0,0.0,0.0,0.0,43.0,5.0,0.0,31.0,50.0,4.0,0,3
80,354.5,41,10.2157803722,13.4059729731,14.9929478138,14.5481899389,0.0,46.0,58.0,5.0,8.0,56.0,60.0,4.0,3.0,61.0,27.0,0.0,0.0,54.0,34.0,0.0,0,8
81,287.5,54,10.52580962,12.6515105714,15.8075362319,13.0834782609,6.0,45.0,28.0,0.0,7.0,44.0,56.0,8.0,0.0,3.0,33.0,11.0,0.0,36.0,28.0,0.0,1,9
82,299.0,55,11.9098994679,12.8104139855,16.3366778149,11.6360089186,4.0,46.0,44.0,3.0,10.0,48.0,51.0,16.0,0.0,2.0,30.0,10.0,0.0,28.0,20.0,0.0,1,9
83,272.0,44,9.81091680583,13.8211892565,17.2677696078,13.462622549,0.0,46.0,56.0,20.0,0.0,6.0,46.0,15.0,0.0,54.0,46.0,10.0,0.0,46.0,0.0,0.0,0,7
84,254.0,47,10.0988480036,14.0385644738,17.8339895013,11.6482939633,3.0,53.0,60.0,41.0,1.0,5.0,41.0,14.0,0.0,16.0,40.0,0.0,0.0,48.0,6.0,0.0,0,7
85,285.0,60,9.81314505644,12.6132863382,15.1304093567,16.214619883,0.0,27.0,28.0,0.0,10.0,50.0,19.0,23.0,27.0,48.0,52.0,10.0,0.0,19.0,38.0,0.0,0,4
86,264.0,40,10.8544584549,12.7180118987,14.5340909091,19.8453282828,1.0,45.0,0.0,0.0,8.0,27.0,0.0,0.0,10.0,52.0,52.0,8.0,1.0,52.0,61.0,8.0,0,6
87,350.5,46,10.6128434659,13.8479755616,14.0941512126,13.5611031859,10.0,58.0,39.0,6.0,6.0,45.0,48.0,2.0,0.0,54.0,25.0,0.0,11.0,62.0,2.0,0.0,0,8
88,403.0,34,11.4692822966,13.8362088827,16.1124896609,15.3126550868,1.0,47.0,47.0,2.0,0.0,53.0,51.0,5.0,0.0,46.0,44.0,10.0,0.0,47.0,45.0,2.0,2,8
89,435.0,38,12.2187853404,13.2001314694,16.046743295,16.5781609195,0.0,40.0,28.0,0.0,7.0,37.0,17.0,6.0,6.0,26.0,8.0,19.0,0.0,37.0,50.0,14.0,1,0
90,227.5,23,10.2512535739,12.8540395019,14.767032967,15.7208791209,0.0,32.0,33.0,0.0,0.0,40.0,29.0,0.0,0.0,48.0,24.0,0.0,0.0,37.0,35.0,0.0,0,1
91,245.0,58,9.30989734974,13.070599276,15.3129251701,14.9557823129,0.0,42.0,12.0,0.0,12.0,48.0,35.0,26.0,0.0,36.0,44.0,0.0,0.0,32.0,20.0,0.0,0,4
92,293.5,45,10.1731746443,14.7239142045,16.9750141965,14.4434980125,0.0,61.0,59.0,1.0,0.0,34.0,48.0,1.0,0.0,7.0,47.0,2.0,0.0,38.0,60.0,11.0,0,3
93,318.0,23,11.1842344537,13.1820593672,14.0125786164,15.9234800839,4.0,49.0,23.0,0.0,8.0,64.0,28.0,0.0,1.0,58.0,38.0,0.0,0.0,43.0,50.0,0.0,0,1
94,349.5,37,11.2393928983,14.6301936922,14.6790653314,13.5283738674,5.0,64.0,58.0,5.0,1.0,45.0,45.0,4.0,0.0,49.0,23.0,0.0,4.0,60.0,20.0,0.0,1,8
95,225.0,56,10.4910859187,14.5262018501,15.9281481481,16.0244444444,14.0,51.0,37.0,0.0,5.0,3.0,36.0,0.0,0.0,10.0,30.0,0.0,1.0,43.0,53.0,15.0,0,2
96,248.5,54,9.79046208014,14.1029984068,17.5861837693,13.095908786,0.0,44.0,54.0,30.0,0.0,6.0,41.0,6.0,0.0,41.0,46.0,8.0,0.0,37.0,9.0,0.0,0,7
97,319.0,42,11.1300710905,12.9738173186,16.263322884,18.2742946708,0.0,25.0,37.0,0.0,0.0,53.0,2.0,0.0,0.0,62.0,64.0,16.0,0.0,38.0,64.0,18.0,0,6
98,355.5,38,10.8877415936,12.5569191851,16.2240975152,15.3891233005,0.0,39.0,50.0,0.0,2.0,61.0,57.0,0.0,0.0,44.0,50.0,5.0,0.0,32.0,49.0,0.0,1,8
99,493.0,30,12.6841719218,13.249266701,15.5500338066,16.1974306964,3.0,53.0,34.0,0.0,16.0,26.0,26.0,13.0,15.0,25.0,9.0,24.0,2.0,48.0,45.0,9.0,1,0
100,275.0,43,9.51892041745,14.1485950454,15.6157575758,15.3339393939,3.0,56.0,54.0,0.0,1.0,22.0,40.0,0.0,0.0,38.0,19.0,1.0,0.0,50.0,56.0,5.0,0,2
101,430.5,30,11.4405683795,13.6880767255,16.035617499,14.9396051103,2.0,39.0,44.0,9.0,10.0,55.0,53.0,4.0,0.0,39.0,16.0,16.0,0.0,43.0,37.0,0.0,2,8
102,338.5,42,10.7289936052,13.3677058315,14.4815361891,14.4140817331,2.0,43.0,48.0,2.0,8.0,38.0,38.0,0.0,0.0,42.0,25.0,0.0,0.0,45.0,33.0,0.0,2,8
103,232.5,52,9.8969355875,14.1191079014,16.7770609319,15.6379928315,0.0,37.0,51.0,4.0,0.0,11.0,46.0,1.0,0.0,8.0,44.0,0.0,3.0,52.0,43.0,0.0,0,3
104,241.5,36,10.2108516187,13.492211154,16.8309178744,15.5238095238,0.0,0.0,51.0,0.0,0.0,32.0,56.0,0.0,11.0,40.0,53.0,0.0,0.0,0.0,52.0,0.0,0,1
105,256.5,42,10.8329587272,14.1282506047,16.38791423,13.3658219623,12.0,52.0,61.0,1.0,8.0,9.0,50.0,0.0,0.0,0.0,56.0,0.0,0.0,35.0,40.0,0.0,0,3
106,239.5,57,9.08775618045,11.8737119813,14.8636047321,17.6945024356,0.0,11.0,38.0,0.0,2.0,45.0,6.0,0.0,16.0,46.0,51.0,6.0,2.0,25.0,49.0,0.0,0,4
107,301.0,42,11.2028287276,13.0896382552,15.0387596899,18.9086378738,0.0,42.0,7.0,0.0,5.0,42.0,8.0,0.0,5.0,46.0,34.0,10.0,0.0,42.0,48.0,7.0,1,6
108,292.5,54,10.2421059836,14.5111969295,17.1737891738,15.1435897436,9.0,51.0,51.0,2.0,4.0,24.0,49.0,1.0,0.0,19.0,46.0,15.0,0.0,45.0,50.0,17.0,0,3
109,329.5,48,10.5383650093,14.2862692977,14.7379868488,14.9919069297,8.0,60.0,50.0,8.0,9.0,58.0,20.0,0.0,2.0,30.0,58.0,1.0,3.0,57.0,47.0,0.0,0,5
110,267.0,49,10.7560310454,15.0154524099,17.4001248439,12.8876404494,0.0,31.0,54.0,48.0,0.0,6.0,42.0,20.0,20.0,55.0,33.0,0.0,0.0,37.0,2.0,0.0,0,7
111,299.0,46,11.6007125467,14.3234122096,16.7720178372,13.0752508361,3.0,44.0,47.0,5.0,3.0,39.0,55.0,5.0,1.0,4.0,21.0,16.0,3.0,41.0,42.0,9.0,1,9
112,335.0,41,11.8190053906,13.5737188415,16.0129353234,18.931840796,0.0,38.0,23.0,0.0,2.0,47.0,6.0,0.0,6.0,60.0,35.0,18.0,0.0,40.0,35.0,29.0,1,6
113,257.0,61,9.44199625906,14.2453839993,16.9974059663,14.1536964981,10.0,48.0,58.0,5.0,0.0,16.0,45.0,1.0,0.0,8.0,51.0,10.0,3.0,44.0,35.0,1.0,0,3
114,343.0,42,11.187674592,12.9195126979,14.0728862974,18.2303206997,0.0,52.0,3.0,0.0,13.0,51.0,15.0,0.0,14.0,58.0,55.0,7.0,2.0,58.0,55.0,2.0,1,6
115,271.0,48,10.0159055201,14.3173619063,16.5947109471,13.290897909,0.0,46.0,58.0,15.0,0.0,29.0,54.0,6.0,0.0,43.0,39.0,12.0,0.0,47.0,0.0,0.0,0,7
116,302.0,46,11.021989452,13.8012916346,16.1081677704,13.5651214128,3.0,43.0,30.0,0.0,5.0,34.0,47.0,7.0,0.0,7.0,23.0,16.0,4.0,37.0,41.0,9.0,1,9
117,271.0,49,9.28569057865,12.7071795751,16.7238622386,13.6322263223,0.0,46.0,64.0,9.0,0.0,12.0,51.0,2.0,0.0,46.0,50.0,11.0,0.0,41.0,9.0,0.0,0,7
118,256.0,61,9.92343548448,14.5699114403,16.109375,14.9192708333,8.0,50.0,49.0,3.0,13.0,10.0,46.0,2.0,0.0,22.0,28.0,0.0,0.0,40.0,50.0,14.0,0,2
119,292.0,40,10.7465230739,12.6429213878,15.5542237443,19.0867579909,0.0,45.0,8.0,0.0,0.0,41.0,0.0,0.0,0.0,60.0,53.0,16.0,0.0,43.0,47.0,10.0,1,6
120,358.0,28,12.1521293186,13.3413156283,15.8016759777,15.2122905028,0.0,41.0,52.0,0.0,0.0,57.0,59.0,0.0,0.0,56.0,57.0,0.0,0.0,40.0,42.0,0.0,0,1
121,281.0,58,10.2963063155,13.5612031813,16.2289442467,15.2348754448,3.0,51.0,49.0,0.0,1.0,23.0,49.0,0.0,0.0,20.0,55.0,6.0,2.0,55.0,38.0,0.0,0,3
122,305.5,40,10.750276608,12.6274785039,15.914893617,11.6841243863,2.0,41.0,51.0,9.0,12.0,40.0,45.0,9.0,0.0,11.0,40.0,0.0,0.0,36.0,6.0,0.0,1,9
123,332.0,38,10.4822241865,13.860606916,17.3669678715,15.40562249,0.0,40.0,62.0,2.0,0.0,27.0,64.0,10.0,0.0,32.0,59.0,3.0,0.0,46.0,56.0,0.0,0,1
124,332.5,31,11.0406487193,13.2267762028,15.2466165414,19.0887218045,0.0,38.0,5.0,0.0,5.0,52.0,13.0,0.0,10.0,44.0,31.0,12.0,1.0,35.0,41.0,17.0,1,6
125,285.5,46,11.4008408535,14.9750643787,16.7384705196,15.8067717455,14.0,51.0,41.0,0.0,2.0,18.0,51.0,0.0,0.0,12.0,44.0,19.0,4.0,51.0,50.0,14.0,0,3
126,290.0,51,10.2028395237,13.7035129809,17.2109195402,14.7068965517,0.0,50.0,36.0,0.0,0.0,41.0,57.0,6.0,0.0,0.0,24.0,22.0,0.0,44.0,48.0,19.0,1,9
127,385.0,45,10.9907750126,13.7983253744,15.9043290043,14.6168831169,0.0,45.0,48.0,8.0,8.0,42.0,38.0,6.0,0.0,36.0,46.0,0.0,0.0,43.0,46.0,1.0,2,8
128,266.0,54,10.0774354551,14.3219464489,15.9523809524,14.1322055138,1.0,58.0,48.0,10.0,5.0,57.0,34.0,1.0,0.0,5.0,30.0,12.0,0.0,45.0,48.0,2.0,0,5
129,340.5,43,11.5038819009,12.9723664692,15.5991189427,18.9368575624,0.0,37.0,8.0,0.0,3.0,52.0,17.0,0.0,9.0,40.0,35.0,17.0,1.0,39.0,49.0,16.0,1,6
130,305.5,41,11.5142892021,13.5897525647,16.5755591926,13.5717403164,9.0,58.0,40.0,2.0,5.0,43.0,58.0,11.0,0.0,0.0,43.0,17.0,0.0,46.0,36.0,0.0,0,9
131,269.0,49,9.34588752815,13.9621200035,17.1623296159,15.6232961586,0.0,34.0,30.0,0.0,12.0,58.0,48.0,0.0,0.0,0.0,40.0,12.0,0.0,19.0,57.0,21.0,0,1
